"Index";"Var";"TubNo";"Trait";"Value";"Variable"
"YIfc";"A24";1;"Mean_f";24,0590013859727;"YIfc_Mean_f"
"YIfc";"A24";1;"SD_i";11,772769779819;"YIfc_SD_i"
"YIfc";"A24";1;"SD_f";16,1200472656774;"YIfc_SD_f"
"YIfc";"A24";1;"Diff";6,44326343618054;"YIfc_Diff"
"YIfc";"A24";1;"Slope";0,00833477283234255;"YIfc_Slope"
"YIfc";"A24";2;"Mean_i";8,50392804297389;"YIfc_Mean_i"
"YIfc";"A24";2;"Mean_f";12,5373090898422;"YIfc_Mean_f"
"YIfc";"A24";2;"SD_i";9,71717342901128;"YIfc_SD_i"
"YIfc";"A24";2;"SD_f";11,5583567924417;"YIfc_SD_f"
"YIfc";"A24";2;"Diff";4,03338104686834;"YIfc_Diff"
"YIfc";"A24";2;"Slope";0,00592222728845047;"YIfc_Slope"
"YIfc";"A24";3;"Mean_i";41,993267857739;"YIfc_Mean_i"
"YIfc";"A24";3;"Mean_f";46,9606015412318;"YIfc_Mean_f"
"YIfc";"A24";3;"SD_i";20,819340257582;"YIfc_SD_i"
"YIfc";"A24";3;"SD_f";20,9524454911677;"YIfc_SD_f"
"YIfc";"A24";3;"Diff";4,96733368349277;"YIfc_Diff"
"YIfc";"A24";3;"Slope";0,00687333542645579;"YIfc_Slope"
